harbor_name,geometry
Øer Havn,0103000020E610000001000000060000007B14AE47E15A2540ECDE8AC404134C407B14AE47E15A2540AC8F87BEBB134C40BDA8DDAF02642540AC8F87BEBB134C40BDA8DDAF02642540ECDE8AC404134C402E3883BF5F5C2540ECDE8AC404134C407B14AE47E15A2540ECDE8AC404134C40
Ebeltoft,0103000020E61000000100000006000000DBF97E6ABC542540EAB303AE2B184C40DBF97E6ABC542540BD0166BE83194C40EC8502B683592540BD0166BE83194C40EC8502B683592540EAB303AE2B184C40B760A92EE0552540EAB303AE2B184C40DBF97E6ABC542540EAB303AE2B184C40
Kongsgårde Bro,0103000020E6100000010000000600000066666666660625403D0D18247D124C406666666666062540EF1D3526C4124C405E83BEF4F6072540EF1D3526C4124C405E83BEF4F60725403D0D18247D124C403A75E5B33C0725403D0D18247D124C4066666666660625403D0D18247D124C40
Skødshoved Bro Jollehavn,0103000020E610000001000000060000003F0114234BBE2440C976BE9F1A174C403F0114234BBE244089B48D3F51174C40E17A14AE47C1244089B48D3F51174C40E17A14AE47C12440C976BE9F1A174C406A6798DA52BF2440C976BE9F1A174C403F0114234BBE2440C976BE9F1A174C40
Egå Marina,0103000020E610000001000000060000006D205D6C5A912440C4AF58C3451A4C406D205D6C5A912440B43A3943711B4C408D28ED0DBE982440B43A3943711B4C408D28ED0DBE982440C4AF58C3451A4C4066DCD440F3912440C4AF58C3451A4C406D205D6C5A912440C4AF58C3451A4C40
Aarhus,0103000020E6100000010000000600000066666666666624405036E50AEF0E4C406666666666662440799274CDE4174C405F5E807D749A2440799274CDE4174C405F5E807D749A24405036E50AEF0E4C405D18E945ED6E24405036E50AEF0E4C4066666666666624405036E50AEF0E4C40
Virksund Havn og Lystbådehavn,0103000020E61000000100000006000000ABE80FCD3C912240BE1248895D4D4C40ABE80FCD3C91224051F86C1D1C4E4C40B3D1393FC599224051F86C1D1C4E4C40B3D1393FC5992240BE1248895D4D4C40A2B3CC2214932240BE1248895D4D4C40ABE80FCD3C912240BE1248895D4D4C40
Hjarbæk Havn,0103000020E61000000100000006000000AA2C0ABB28A2224071395E81E8434C40AA2C0ABB28A222405C3E92921E444C40F6ED2422FCA322405C3E92921E444C40F6ED2422FCA3224071395E81E8434C4039252026E1A2224071395E81E8434C40AA2C0ABB28A2224071395E81E8434C40
Skive,0103000020E6100000010000000600000098A25C1ABF1822401766A19DD3464C4098A25C1ABF1822400AD7A3703D4A4C40A5677A89B12422400AD7A3703D4A4C40A5677A89B12422401766A19DD3464C4044FAEDEBC02122401766A19DD3464C4098A25C1ABF1822401766A19DD3464C40
Holstebro-Struer Havn,0103000020E6100000010000000600000008AC1C5A642B214081221631EC3E4C4008AC1C5A642B214041D3122BA33F4C400F61FC34EE35214041D3122BA33F4C400F61FC34EE35214081221631EC3E4C40AD8905BEA22B214081221631EC3E4C4008AC1C5A642B214081221631EC3E4C40
